y_true,y_pred,prob_class_Bundesliga,prob_class_Bundesliga 2,prob_class_EFL Championship,prob_class_LaLiga,prob_class_LaLiga 2,prob_class_Ligue 1,prob_class_Ligue 2,prob_class_Premier League,prob_class_Serie A,prob_class_Serie B,erreur,pays_true,pays_pred,meme_pays
Bundesliga,Ligue 2,0.2546961740991951,0.055939430223102,0.2437868752112384,0.0470137678836012,0.0061523944967432,0.0035163489928824,0.3057024589433633,0.0386108168479101,0.0325689663072852,0.0120127669946786,True,Allemagne,France,False
Premier League,EFL Championship,0.0010816599325419,0.0120862237861134,0.5984614012518716,0.0016238812044752,0.0036557034742742,0.0195372172707922,0.014080092102398,0.3020274225249214,0.006091451953028,0.0413549464995838,True,Angleterre,Angleterre,True
LaLiga 2,LaLiga,0.0118195897709014,0.070566576966714,0.01688933360313,0.2532655668239711,0.2521641942711533,0.2255426574144559,0.0065004915531715,0.0192577528012245,0.1084410121710809,0.0355528246241971,True,Espagne,Espagne,True
Premier League,EFL Championship,0.0242664428619217,0.0102165827550364,0.5698188775229475,0.0216390918605799,0.0375548991976633,0.0422268560740097,0.0145314285046762,0.2668405273692759,0.0076016443358234,0.0053036495180656,True,Angleterre,Angleterre,True
Serie B,LaLiga 2,0.0001727539010907,0.0994119465124246,0.2264862905469746,0.0001661403394567,0.3874415613602578,0.0017512450427389,0.0345606801840266,0.0026440859834243,0.0056747673547379,0.2416905287748675,True,Italie,Espagne,False
Premier League,EFL Championship,0.0439006211536475,0.0272720557473638,0.6201036219068968,0.0073115620477006,0.0168321596364253,0.0194417447061982,0.0493707633114453,0.2051703381196888,0.0033696419475953,0.007227491423038,True,Angleterre,Angleterre,True
Bundesliga,Premier League,0.2819247983610602,0.0294090784976023,0.1248967060181622,0.03810115777764,0.0319583822087636,0.1023150298633223,0.0128088423397793,0.3508539371129464,0.0082076567929595,0.0195244110277639,True,Allemagne,Angleterre,False
EFL Championship,Bundesliga,0.5477864009553566,0.0059129797192192,0.3692406802883605,0.0045770375612184,0.0003242018602931,0.0437577080079567,0.000757866916035,0.023003597500467,0.0043932280278954,0.0002462991631977,True,Angleterre,Allemagne,False
Premier League,EFL Championship,0.1698412750376457,0.0289906860073363,0.510465343718182,0.0788071794807364,0.0031084922204424,0.0552824375329259,0.0138103545912506,0.1216033536385857,0.0160087248497135,0.0020821529231813,True,Angleterre,Angleterre,True
EFL Championship,Premier League,0.0074824653115852,0.0216059970417545,0.3007043526460631,0.0783805378259546,0.0374383907992471,0.0417946711268889,0.0176176617339992,0.4595539894515711,0.0164804129436695,0.0189415211192667,True,Angleterre,Angleterre,True
Bundesliga 2,Bundesliga,0.535048726840611,0.1244217749216845,0.0430225031455564,0.0921551257463376,0.0042495998762589,0.0563907076718585,0.0003757398958356,0.038666635424693,0.105458849688854,0.0002103367883098,True,Allemagne,Allemagne,True
LaLiga 2,Serie A,0.2007718297160652,0.0417468589598074,0.0524470387137967,0.0052822110401461,0.0114443971001236,0.0232119816072296,0.0021470355105058,0.0031017779772896,0.3498744279072858,0.3099724414677497,True,Espagne,Italie,False
LaLiga 2,EFL Championship,0.0019765470666013,0.1154282984987982,0.3555113859814336,0.0027921474963485,0.2301478057690579,0.0137359288238908,0.2394068040120491,0.0110955477565091,0.0025892516995403,0.0273162828957708,True,Espagne,Angleterre,False
LaLiga,Bundesliga,0.5548685718435062,0.0416750820664258,0.0740128062181289,0.2035696843680059,0.0209885811782124,0.0453910322984461,0.0185767288123242,0.013885563370527,0.0105568871793735,0.0164750626650498,True,Espagne,Allemagne,False
Premier League,EFL Championship,0.0003467721109084,0.002116955161678,0.5105965990502941,0.0028963169464447,0.0477390250691593,0.0103937108291967,0.007275918066035,0.3982475527578031,0.0144949576407736,0.0058921923677066,True,Angleterre,Angleterre,True
Ligue 1,EFL Championship,0.000952025769274,0.0265155902664374,0.5730867832666582,0.0013832431273255,0.0002984933185097,0.2151591950669434,0.01773508623168,0.153983928951635,0.0098422536175166,0.0010434003840198,True,France,Angleterre,False
Ligue 2,EFL Championship,0.0099635219800221,0.0491071924454858,0.4837301975061257,0.0018427757720373,0.160877404020111,0.0148486580020075,0.0773319358724179,0.013483210272966,0.0699446146072001,0.1188704895216261,True,France,Angleterre,False
Bundesliga 2,Bundesliga,0.2898196370340199,0.2627006553886191,0.0911286183181694,0.0927127251971761,0.0219554609024375,0.1057170618033761,0.0064238763292582,0.0258804442154222,0.0993739248055234,0.0042875960059977,True,Allemagne,Allemagne,True
LaLiga 2,Ligue 1,0.0279054400951262,0.0089705733551385,0.0724769635152672,0.0304211619571838,0.1130190070015734,0.2932406304041347,0.2103112510463844,0.1330757292682911,0.0242478196553573,0.0863314237015429,True,Espagne,France,False
