y_true,y_pred,prob_class_Bundesliga,prob_class_Bundesliga 2,prob_class_EFL Championship,prob_class_LaLiga,prob_class_LaLiga 2,prob_class_Ligue 1,prob_class_Ligue 2,prob_class_Premier League,prob_class_Serie A,prob_class_Serie B,erreur,pays_true,pays_pred,meme_pays
LaLiga 2,LaLiga,0.00025414766,0.021188447,0.0013134574,0.73317975,0.09297058,0.001942983,0.016808456,0.010519395,0.014534867,0.107287906,True,Espagne,Espagne,True
LaLiga 2,LaLiga,0.00014453982,0.0010135488,4.1156032e-05,0.8937997,0.10321494,0.0010694296,0.00016702771,0.00022003945,0.0002820716,4.752315e-05,True,Espagne,Espagne,True
LaLiga 2,LaLiga,0.000621397,0.0011811604,0.00012046307,0.8556772,0.1329687,0.0019831469,8.9333946e-05,0.0003228266,0.0031752705,0.00386053,True,Espagne,Espagne,True
EFL Championship,Premier League,0.00043917494,0.0010343526,0.22330248,0.00010559616,0.00020287643,0.00033522758,0.0012113699,0.7692652,0.0005001907,0.0036035615,True,Angleterre,Angleterre,True
Premier League,EFL Championship,0.009082797,0.00095851923,0.7927576,0.000643239,0.0003734869,0.00025721203,0.0006422012,0.19515984,9.374941e-05,3.13424e-05,True,Angleterre,Angleterre,True
Ligue 2,Ligue 1,0.0011148012,0.00022314081,0.0024726873,4.4621138e-05,0.0011825755,0.8949623,0.09845071,0.00043023704,0.0007884152,0.00033049795,True,France,France,True
Ligue 1,Ligue 2,0.0008272599,0.00018763628,0.0021044342,0.0010491204,0.0002971847,0.12653029,0.8644166,0.0008868278,0.0019649437,0.0017357351,True,France,France,True
EFL Championship,Premier League,0.00061553594,0.013756812,0.37674963,0.00023938918,0.0011166359,0.0019002309,0.000310192,0.59915036,0.0014635278,0.004697706,True,Angleterre,Angleterre,True
Bundesliga 2,Bundesliga,0.61927795,0.2286776,0.003114014,0.025508614,0.000933238,0.07268849,0.004647662,0.040159274,0.0040817126,0.000911464,True,Allemagne,Allemagne,True
Premier League,EFL Championship,0.0011141306,3.752845e-05,0.99499375,5.461055e-05,8.968895e-05,3.0899428e-05,0.0004695537,0.0031987908,5.4537295e-06,5.6793865e-06,True,Angleterre,Angleterre,True
Serie B,Ligue 1,0.01882277,0.0014909083,0.0014387324,0.08041839,0.019852642,0.5622094,0.0013154045,0.05954302,0.08160663,0.17330205,True,Italie,France,False
LaLiga,LaLiga 2,0.0008428798,0.0015090206,0.011457891,0.3627796,0.6055877,0.0043734596,4.4550805e-05,0.012115652,0.0004659641,0.0008233074,True,Espagne,Espagne,True
Serie B,EFL Championship,0.0011166367,0.12548253,0.4741689,4.2746087e-05,0.075277865,0.0003541937,0.018704453,0.002965171,0.012176439,0.2897111,True,Italie,Angleterre,False
Ligue 1,Ligue 2,0.0042431243,0.15300506,0.02388422,0.017829606,0.024120605,0.10742119,0.21999368,0.13367665,0.1483647,0.16746117,True,France,France,True
Premier League,EFL Championship,0.00021743355,0.000757005,0.5381987,0.0027613116,0.0005396902,0.0004443799,0.000245423,0.4566898,4.824924e-05,9.800003e-05,True,Angleterre,Angleterre,True
Premier League,EFL Championship,0.023791645,0.0018733586,0.6554729,0.08781062,0.006906436,0.005245038,0.0032014183,0.21217698,0.0024425013,0.0010791733,True,Angleterre,Angleterre,True
Premier League,EFL Championship,0.0009871878,0.0015799555,0.65562105,0.0014670782,0.00055134296,0.002301962,0.00048372068,0.33667734,0.00013509758,0.00019525965,True,Angleterre,Angleterre,True
EFL Championship,Premier League,9.7275595e-05,0.0057871817,0.38711527,0.0001753825,0.0002174686,0.00011350987,0.00028760644,0.6058839,0.00027124933,5.113754e-05,True,Angleterre,Angleterre,True
Ligue 2,Ligue 1,0.0011866443,3.7158497e-05,0.0010319108,0.00185756,0.00030787048,0.9736823,0.017092949,0.0022648606,0.0005146161,0.0020241258,True,France,France,True
EFL Championship,Premier League,0.0017002231,0.0010716018,0.3422298,0.0025404694,0.005265047,0.0026861958,0.002086122,0.64133817,0.00040370206,0.000678659,True,Angleterre,Angleterre,True
Premier League,EFL Championship,0.0014178852,0.0069550625,0.6167106,0.0061623906,0.007249225,0.00041455054,0.0036615178,0.35577697,0.0007007844,0.0009509839,True,Angleterre,Angleterre,True
Premier League,EFL Championship,0.0023671724,0.00064575253,0.59480244,0.01107831,0.0021122124,0.004279195,0.0004209681,0.3820392,0.001027423,0.001227344,True,Angleterre,Angleterre,True
Ligue 1,LaLiga 2,0.001175513,0.060883306,0.055428978,0.0020156193,0.41117263,0.27430364,0.18826295,0.0036325534,0.00033062708,0.0027941621,True,France,Espagne,False
Ligue 2,Ligue 1,0.0039002213,0.001187975,0.0048796516,0.002161435,0.008097562,0.84094644,0.13312912,0.002303837,0.0013974399,0.001996304,True,France,France,True
Premier League,EFL Championship,0.0046229153,0.0049345084,0.4989519,0.0037260854,0.0025312745,0.000261461,0.0032080838,0.4783182,0.0006107986,0.0028347322,True,Angleterre,Angleterre,True
LaLiga,LaLiga 2,0.0055776467,0.004156343,0.019474834,0.36844805,0.5126104,0.007982603,0.0373123,0.033699587,0.0068954923,0.0038428053,True,Espagne,Espagne,True
EFL Championship,Premier League,0.009083385,0.016060026,0.33711237,0.020838428,0.007163606,0.009357371,0.0035659426,0.5822366,0.0012047533,0.013377498,True,Angleterre,Angleterre,True
Ligue 2,Bundesliga,0.68065685,0.053851448,0.015581297,0.0066984356,0.002731755,0.03415153,0.18994386,0.015743757,0.0005666352,7.435721e-05,True,France,Allemagne,False
EFL Championship,Premier League,0.008019878,0.0008590033,0.10073862,0.01858759,0.0010013663,0.0049177,0.00025056695,0.85998285,0.0048804535,0.000762001,True,Angleterre,Angleterre,True
LaLiga,LaLiga 2,0.0012940182,0.0017563001,0.065995105,0.0677548,0.8148808,0.011740472,0.0045380816,0.026841685,0.00036948902,0.004829252,True,Espagne,Espagne,True
Ligue 2,Ligue 1,0.00042585723,0.08511455,0.0028311019,0.00041681188,0.0014918096,0.67353904,0.19281997,0.039700545,0.0013457284,0.0023145818,True,France,France,True
